B2,B3,B4,B5,B6,B7,landcover
8063,8150,8737,9294,9941,8896,0
8048,8132,8715,9262,9894,8846,0
8056,8125,8699,9232,9868,8791,0
8105,8181,8758,9301,9932,8851,0
8099,8202,8780,9345,9961,8888,0
8042,8139,8720,9262,9903,8870,0
8011,8073,8646,9161,9785,8734,0
8003,8062,8626,9137,9746,8661,0
8014,8076,8643,9167,9804,8742,0
8043,8105,8686,9232,9922,8885,0
8052,8124,8701,9252,9978,8968,0
8030,8091,8641,9166,9859,8860,0
8043,8123,8702,9243,9844,8787,0
8065,8143,8718,9257,9853,8771,0
8101,8188,8768,9314,9923,8836,0
8080,8159,8727,9290,9949,8898,0
8043,8110,8666,9217,9938,8932,0
8028,8084,8646,9174,9878,8869,0
8033,8091,8665,9197,9881,8850,0
8054,8116,8693,9245,9940,8883,0
8074,8139,8720,9281,10027,8988,0
8069,8127,8694,9241,10015,9039,0
8088,8185,8768,9319,9946,8912,0
8101,8198,8787,9329,9960,8900,0
8065,8137,8714,9260,9923,8885,0
8037,8103,8653,9198,9888,8873,0
8041,8108,8657,9195,9900,8904,0
8064,8144,8716,9278,10035,9055,0
8086,8168,8750,9317,10079,9057,0
8099,8195,8788,9342,9973,8946,0
8095,8194,8782,9326,9980,8946,0
8053,8133,8709,9242,9936,8929,0
8041,8107,8671,9200,9934,8961,0
8068,8146,8713,9256,10032,9097,0
8097,8205,8794,9363,10194,9282,0
8098,8187,8763,9320,9969,8937,0
8065,8139,8705,9244,9980,8978,0
8052,8115,8681,9214,9979,8994,0
8082,8160,8735,9293,10095,9157,0
8100,8184,8752,9314,10071,9050,0
8009,8081,8635,9169,9841,8818,0
8019,8093,8665,9205,9925,8911,0
8039,8113,8696,9265,9949,8880,0
8088,8192,8800,9399,10182,9149,0
8101,8202,8812,9407,10244,9277,0
8073,8147,8726,9303,10155,9299,0
8071,8145,8717,9295,10208,9449,0
8028,8101,8667,9222,9898,8849,0
8041,8126,8711,9278,9997,8956,0
8050,8144,8738,9319,10028,8945,0
8079,8185,8790,9385,10143,9095,0
8070,8172,8767,9341,10113,9120,0
8047,8129,8704,9256,10034,9094,0
8050,8120,8696,9258,10085,9217,0
8085,8154,8746,9328,10203,9356,0
8028,8090,8665,9237,9891,8836,0
8027,8105,8695,9258,9950,8901,0
8058,8146,8757,9329,10066,8995,0
8096,8197,8816,9409,10176,9140,0
8074,8181,8784,9353,10079,9036,0
8052,8155,8749,9302,10001,8946,0
8062,8146,8735,9297,10049,9062,0
8093,8174,8754,9331,10146,9223,0
8123,8213,8797,9370,10083,9099,0
7988,8048,8623,9184,9750,8643,0
7984,8044,8622,9164,9784,8683,0
8032,8109,8705,9256,9941,8831,0
8083,8188,8795,9373,10099,9032,0
8100,8211,8829,9405,10114,9049,0
8085,8188,8803,9364,10050,8962,0
8073,8149,8742,9309,10016,8982,0
8092,8168,8743,9314,10028,9039,0
8108,8200,8773,9328,9940,8913,0
8098,8176,8751,9285,9842,8763,0
7969,8032,8612,9165,9688,8505,0
7980,8037,8624,9166,9735,8552,0
8022,8094,8685,9235,9870,8698,0
8064,8168,8764,9342,10029,8925,0
8097,8210,8827,9409,10111,9054,0
8088,8190,8796,9352,10014,8936,0
8065,8140,8714,9264,9898,8838,0
8066,8139,8699,9243,9868,8830,0
8056,8139,8682,9210,9758,8692,0
8042,8105,8652,9171,9702,8601,0
8047,8114,8671,9199,9804,8710,0
8003,8083,8697,9271,9839,8622,0
